0.5871, [[0.3731689821135019, 0.985457923950108], [0.3769260072258314, 0.9149539371574087], [0.3773186805078619, 0.9091635669213187], [0.37885543209438877, 0.8461806117657212], [0.37941174223955626, 0.7907525903578048], [0.46874797565613613, 0.0], [0.3992780300773777, 0.27678761607516006], [0.4719605432651935, 0.0], [0.0, 0.27304489784182284], [0.9974337372796998, 0.0]]
0.5900, [[0.3974173161344885, 0.27687754478510174], [0.0, 0.9985375235875551], [0.3770173458458961, 0.8555524781388927], [0.37885543209438877, 0.8461806117657212], [0.38160359317361675, 0.7506243433898729], [0.3769260072258314, 0.9149539371574087], [0.4006682535453114, 0.27682932510573566], [0.3731689821135019, 0.985457923950108], [0.9995504522171306, 0.0], [0.4653402610883967, 0.0]]
0.5892, [[0.4014312483624683, 0.276895178638894], [0.37885543209438877, 0.8461806117657212], [0.38160359317361675, 0.7506243433898729], [0.3731689821135019, 0.985457923950108], [0.37941174223955626, 0.7907525903578048], [0.37365133833064124, 0.9357403409728537], [0.37934496294633674, 0.8414723527989979], [0.40244507945043734, 0.2766940381985657], [0.3769260072258314, 0.9149539371574087], [1.0, 0.0]]
0.5835, [[0.38160359317361675, 0.7506243433898729], [0.9997415019568712, 0.0], [0.37696739934972784, 0.841978128188527], [0.37934496294633674, 0.8414723527989979], [0.3769260072258314, 0.9149539371574087], [0.3731689821135019, 0.985457923950108], [0.3754554830375388, 0.8757757761664313], [0.3759301127248841, 0.8584876291596534], [0.37753833471200543, 0.9072173652725619], [0.37885543209438877, 0.8461806117657212]]
0.5181, [[0.4653402610883967, 0.0], [0.9581509095008772, 0.0], [0.3770173458458961, 0.8555524781388927], [0.52010515536585, 0.0], [0.5227949992920101, 0.0], [0.996769258539622, 0.0], [0.46770831756970893, 0.0], [0.9995504522171306, 0.0], [0.532830715075703, 0.0], [0.9966803494124286, 0.0]]
0.5886, [[0.3731689821135019, 0.985457923950108], [0.40017154805855465, 0.27681040513883554], [0.38160359317361675, 0.7506243433898729], [0.9995504522171306, 0.0], [0.37934496294633674, 0.8414723527989979], [0.37365133833064124, 0.9357403409728537], [0.37941174223955626, 0.7907525903578048], [0.37885543209438877, 0.8461806117657212], [0.3769260072258314, 0.9149539371574087], [0.4653402610883967, 0.0]]
0.5907, [[1.0, 0.0], [0.0, 1.0], [0.37555675576733866, 0.9141105187966707], [0.38160359317361675, 0.7506243433898729], [0.4014312483624683, 0.276895178638894], [0.37885543209438877, 0.8461806117657212], [0.37934496294633674, 0.8414723527989979], [0.3731689821135019, 0.985457923950108], [0.37753833471200543, 0.9072173652725619], [0.40244507945043734, 0.2766940381985657]]
0.5383, [[0.3731689821135019, 0.985457923950108], [0.0, 0.9426503077387909], [0.3974173161344885, 0.27687754478510174], [0.3992780300773777, 0.27678761607516006], [0.4006682535453114, 0.27682932510573566], [0.010154260644765285, 0.27673348218793364], [0.0, 0.9094893579351735], [0.5191335213119919, 0.0], [0.5298856604174225, 0.0], [0.5435871961406592, 0.0]]
0.5886, [[0.4014312483624683, 0.276895178638894], [0.9938183145866004, 0.0], [0.3731689821135019, 0.985457923950108], [0.3769260072258314, 0.9149539371574087], [0.9949139461177147, 0.0], [0.38160359317361675, 0.7506243433898729], [0.9986407069192778, 0.0], [0.3769260072258314, 0.9149539371574087], [0.9951656670585891, 0.0], [0.37365133833064124, 0.9357403409728537]]
0.5892, [[0.37934496294633674, 0.8414723527989979], [0.0, 0.9902659598601595], [0.3974173161344885, 0.27687754478510174], [0.3769260072258314, 0.9149539371574087], [0.38160359317361675, 0.7506243433898729], [0.37941174223955626, 0.7907525903578048], [0.3731689821135019, 0.985457923950108], [0.4006682535453114, 0.27682932510573566], [0.3770173458458961, 0.8555524781388927], [1.0, 0.0]]
